year,stockID,per
2016,1459,51.54
2017,1459,34.33
2021,1459,42.69
2022,1459,20.69
2023,1459,144.3
2024,1459,46.08666667
2014,1460,18.44
2015,1460,17.315
2016,1460,14.0725
2017,1460,22.255
2018,1460,34.445
2019,1460,106
2021,1460,24.69
2022,1460,91.4575
2014,1463,25.515
2015,1463,30.1125
2016,1463,8.03
2017,1463,7.0975
2018,1463,7.995
2019,1463,14.51
2020,1463,28.235
2021,1463,33.8
2022,1463,31.42
2023,1463,27.81
2024,1463,40.12333333
2014,1464,3.05
2015,1464,14.005
2016,1464,20.7975
2017,1464,20.915
2018,1464,28.1375
2019,1464,20.36
2020,1464,27.645
2021,1464,52.8
2022,1464,19.32
2023,1464,48.0425
2024,1464,38.94
2014,1465,16.045
2015,1465,15.0075
2016,1465,16.5125
2017,1465,38.2175
2018,1465,159.76
2019,1465,10.0075
2020,1465,12.50666667
2022,1465,21.585
2023,1465,20.2825
2024,1465,19.74
2014,1466,37.74
2015,1466,114.4525
2020,1466,196.06
2021,1466,16.305
2022,1466,19.395
2014,1467,24.21
2015,1467,459.645
2016,1467,327
2020,1467,39.595
2021,1467,88.54666667
2018,1468,191.355
2019,1468,35.795
2020,1468,46.9275
2021,1468,117.68
2022,1468,82.3925
2023,1468,79.0725
2024,1468,42.89666667
2014,1470,24.9
2015,1470,24.9475
2016,1470,31.47
2017,1470,35.81
2018,1470,34.3525
2019,1470,28.5725
2020,1470,33.4725
2021,1470,28.4725
2022,1470,39.5175
2023,1470,38.88
2024,1470,38.83
2020,1471,8.933333333
2021,1471,9.256666667
2016,1472,28.92333333
2017,1472,27.92
2019,1472,42.245
2022,1472,149.3
2023,1472,18.5275
2024,1472,15.93
2014,1473,27.655
2015,1473,37.455
2016,1473,30.08
2017,1473,27.3275
2018,1473,34.98
2019,1473,45
2022,1473,19.27333333
2023,1473,12.4525
2024,1473,13.01
2014,1474,19.42
2015,1474,16.745
2016,1474,12.4275
2017,1474,13.1175
2018,1474,13.24
2019,1474,17.7625
2020,1474,18.5025
2021,1474,15.0725
2022,1474,16.385
2023,1474,66.15
2024,1474,55.875
2015,1475,10.41
2016,1475,10.82
2020,1475,160.4
2021,1475,21.42
2022,1475,7.2575
2023,1475,5.505
2024,1475,10.26
2014,1476,25.955
2015,1476,33.1775
2016,1476,24.84
2017,1476,28.0075
2018,1476,25.485
2019,1476,25.86
2020,1476,21.915
2021,1476,33.775
2022,1476,19.8825
2023,1476,24.47
2024,1476,25.07333333
2014,1477,16.815
2015,1477,23.865
2016,1477,17.6725
2017,1477,19.9575
2018,1477,21.8175
2019,1477,23.2625
2020,1477,17.08
2021,1477,24.2
2022,1477,14.37
2023,1477,19.08
2024,1477,22.56333333
2014,1503,16.63
2015,1503,16.6175
2016,1503,16.8525
2017,1503,16.605
2018,1503,15.985
2019,1503,14.8775
2020,1503,15.165
2021,1503,15.87
2022,1503,15.66
2023,1503,27.1125
2024,1503,54.59
2014,1504,14.915
2015,1504,14.985
2016,1504,15.9225
2017,1504,17.7375
2018,1504,13.7925
2019,1504,14.58
2020,1504,15.51
2021,1504,14.9225
2022,1504,15.43
2023,1504,21.075
2024,1504,20.11
2014,1506,201.6
2015,1506,88.0425
2016,1506,71.9275
2017,1506,621.95
2021,1506,55.77
2022,1506,43.4525
2023,1506,53.75
2024,1506,63.43333333
2023,1512,305
2014,1513,13.58
2015,1513,12.87
2016,1513,14.6125
2017,1513,17.78
2018,1513,16.3
2019,1513,14.705
2020,1513,12.6
2021,1513,12.5125
2022,1513,12.1025
2023,1513,29.255
2024,1513,52.27333333
2014,1514,16.28
