year,stockID,roa
2017,1413,5.05
2016,1413,-2.72
2015,1413,0.13
2014,1413,-8
2013,1413,-8.23
2012,1413,-7.49
2011,1413,-3.01
2010,1413,4.09
2009,1413,-7.29
2008,1413,-10.4
2023,1414,0.73
2022,1414,2.3
2021,1414,3.16
2020,1414,1.3
2019,1414,0.8
2018,1414,0.86
2017,1414,1.95
2016,1414,-0.07
2015,1414,0.15
2014,1414,0.99
2013,1414,3.09
2012,1414,2.08
2023,1416,2.42
2022,1416,2.3
2021,1416,1.47
2020,1416,-4.79
2019,1416,-1.81
2018,1416,3.07
2017,1416,2.31
2016,1416,10
2015,1416,-0.31
2014,1416,4.71
2013,1416,0.71
2012,1416,13.8
2011,1416,3.15
2010,1416,2.96
2009,1416,0.69
2008,1416,-2.97
2023,1417,-1.72
2022,1417,2.51
2021,1417,2.74
2020,1417,-9.38
2019,1417,7.41
2018,1417,-5.35
2017,1417,-9.44
2016,1417,-3.11
2015,1417,-6.25
2014,1417,0.47
2013,1417,0.28
2012,1417,2.84
2011,1417,4.54
2010,1417,2.76
2009,1417,1.95
2008,1417,0.99
2023,1418,0.96
2022,1418,0.59
2021,1418,-5.82
2020,1418,-9.73
2019,1418,-8.36
2018,1418,-10.3
2017,1418,-19.2
2016,1418,-10.1
2015,1418,-9.38
2014,1418,-7.9
2013,1418,-5.78
2012,1418,-8.32
2011,1418,1.92
2010,1418,-1.48
2009,1418,13.5
2008,1418,-15.4
2023,1419,3.68
2022,1419,12.6
2021,1419,3.03
2020,1419,2.75
2019,1419,3.01
2018,1419,2.14
2017,1419,9.44
2016,1419,1.27
2015,1419,0.98
2014,1419,0.94
2013,1419,1.59
2012,1419,1.91
2011,1419,2.72
2010,1419,2.53
2009,1419,1.33
2008,1419,0.11
2023,1423,2.18
2022,1423,2.18
2021,1423,4.56
2020,1423,12
2019,1423,-1.39
2018,1423,3.75
2017,1423,1.63
2016,1423,0.18
2015,1423,-1.26
2014,1423,-2.58
2013,1423,-0.13
2012,1423,-3.51
2023,1432,1.13
2022,1432,-0.75
2021,1432,-3.21
2020,1432,0.3
2019,1432,-15.6
2018,1432,-7.7
2017,1432,-3.17
2016,1432,-2.53
2015,1432,-2.82
2014,1432,-4.64
2013,1432,-4.93
2012,1432,27.4
2011,1432,1.49
2010,1432,38.7
2009,1432,-5.71
2008,1432,-4.92
2023,1434,0.6
2022,1434,4.34
2021,1434,2.67
2020,1434,2.62
2019,1434,6.71
2018,1434,5.67
2017,1434,5.1
2016,1434,4.46
2015,1434,4.16
2014,1434,5.04
2013,1434,2.83
2012,1434,3.21
2011,1434,2.93
2010,1434,5.54
2009,1434,0.17
2008,1434,4.19
2023,1435,-3.05
2022,1435,-17.5
2021,1435,0.56
2020,1435,-2.06
2019,1435,1.94
2018,1435,-1.14
2017,1435,0.07
2016,1435,-0.55
2015,1435,-0.32
2014,1435,-0.15
