StockID,Year,ROA
1443,2011,-3.59
1443,2010,0.38
1443,2009,-4.34
1443,2008,-2.74
1444,24Q1,5.15
1444,2023,-1.65
1444,2022,2.36
1444,2021,3.43
1444,2020,-2.4
1444,2019,-0.34
1444,2018,1.96
1444,2017,-0.25
1444,2016,0.37
1444,2015,2.39
1444,2014,1.48
1444,2013,4.57
1444,2012,5.87
1444,2011,4.64
1444,2010,12.1
1444,2009,5.61
1444,2008,-2.67
1445,24Q2,0.22
1445,2023,38.5
1445,2022,0.53
1445,2021,-1.27
1445,2020,-2.9
1445,2019,-1.94
1445,2018,-1.11
1445,2017,0.55
1445,2016,2.72
1445,2015,3.93
1445,2014,1.27
1445,2013,2.8
1445,2012,1.12
1445,2011,4.48
1445,2010,5
1445,2009,2.01
1445,2008,1.15
1446,24Q1,25.8
1446,2023,2.36
1446,2022,-0.84
1446,2021,-0.41
1446,2020,-0.18
1446,2019,0.01
1446,2018,-0.75
1446,2017,-1.05
1446,2016,1.71
1446,2015,-1.01
1446,2014,0.34
1446,2013,-0.34
1446,2012,-1.04
1446,2011,14.9
1446,2010,-8.4
1446,2009,0.98
1446,2008,0.4
1447,24Q1,3.81
1447,2023,-2.24
1447,2022,-0.09
1447,2021,1.47
1447,2020,-2.32
1447,2019,-1.33
1447,2018,0.95
1447,2017,-0.87
1447,2016,-0.28
1447,2015,0.24
1447,2014,1.98
1447,2013,6.38
1447,2012,0.15
1447,2011,-0.96
1447,2010,7.01
1447,2009,7.49
1447,2008,-13.8
1449,24Q1,2.99
1449,2023,1.23
1449,2022,1.58
1449,2021,1.17
1449,2020,-1.99
1449,2019,-1.79
1449,2018,-2.89
1449,2017,1.07
1449,2016,-3.46
1449,2015,-5.18
1449,2014,-0.13
1449,2013,-3.13
1449,2012,-3.26
1449,2011,-4.79
1449,2010,-5.69
1449,2009,-8.19
1449,2008,-7.79
1451,24Q2,2.28
1451,2023,-4.22
1451,2022,4.68
1451,2021,2.68
1451,2020,-4.6
1451,2019,-0.72
1451,2018,3.86
1451,2017,2.36
1451,2016,5.47
1451,2015,4.88
1451,2014,4.89
1451,2013,5.73
1451,2012,5.75
1451,2011,5.03
1451,2010,9.68
1451,2009,8.36
1451,2008,0.67
1452,24Q2,3
1452,2023,1.8
1452,2022,4.21
1452,2021,11.8
1452,2020,3.58
1452,2019,6.42
1452,2018,7.11
1452,2017,8.07
1452,2016,7.45
1452,2015,14.5
1452,2014,7.35
1452,2013,6
1452,2012,4.03
1452,2011,-
1452,2010,-
1452,2009,-
1452,2008,-
1453,24Q1,3.16
1453,2023,3.1
1453,2022,-0.66
1453,2021,6.53
1453,2020,1.15
1453,2019,-3.43
1453,2018,24.8
1453,2017,-2.12
1453,2016,-0.92
1453,2015,4.46
1453,2014,-3.83
1453,2013,1.74
1453,2012,10.9
1453,2011,0.7
1453,2010,2.2
1453,2009,3.73
1453,2008,2.84
1454,24Q1,3.79
1454,2023,0.96
1454,2022,1.57
1454,2021,0.25
1454,2020,-1.9
1454,2019,1.71
1454,2018,0.94
1454,2017,0.86
1454,2016,2.45
1454,2015,4.83
1454,2014,3.24
1454,2013,1.79
1454,2012,-0.85
1454,2011,7.57
1454,2010,0.43
1454,2009,-0.41
1454,2008,0.85
